,,,,,,
,,,,,,
,Game Title,Success Year (Start),Success Milestone Reached,Publisher's Structural Commitment (Event/League Founding From Gemini),Viewership/Stability Confirmation (Data Point From Gemini),Jake's Additional Validation
,StarCraft II,2012,2013,GSL (Asia) and expanding foreign circuits (DreamHack/IEM in EU/NA) fully established by 2012.,"Liquipedia records continuous structural support; growth confirmed from 2012 through 2014. As with other titles pre-2017, actual data on viewership is difficult to acquire now. I use proxy sources to cover myself here and mark the titles in yellow. While the specifics might be a little fluffy, I would be surprised if anyone would seriously contest what and where I've included these titles.","https://liquipedia.net/starcraft2/S-Tier_Tournaments/WoL#2012https://www.ign.com/articles/2016/03/22/the-rise-and-fall-of-starcraft-ii-as-an-esport    https://en.wikipedia.org/wiki/StarCraft_II_in_esports#:~:text=Late%202011%20and%202012%20constituted,World%20Championship%20Series%20(WCS)."
,League of Legends,2013,2014,"Founding of the LCS (NA) & LCS (EU) (2013), confirming multi-continent A-Tier structure.",Peak CCV Grand Finals grew from 8.7M (2013) to 11M (2014).,https://www.pcgamer.com/league-of-legends-2014-world-championship-draws-27-million-viewers/  https://liquipedia.net/leagueoflegends/S-Tier_Tournaments#2013
,Dota 2,2014,2015,First official full season of the DPC (Dota Pro Circuit) league structure across all major regions (2014).,Liquipedia records show sustained structural support and growth from 2014 to 2015.,"https://liquipedia.net/dota2/Tier_1_Tournaments#2014  https://www.gamesindustry.biz/20m-watched-2014-international-dota-2-championships#:~:text=Valve%20has%20revealed%20that%20the,$5%20million%20in%20prize%20money. "
,Counter-Strike,2014,2015,"Third-party circuits (ESL, DreamHack) fully established across EU and NA with sustained Majors structure (2014).",Structural stability confirmed; viewership grew and stabilized from 2014 to 2015.,"https://esl.com/article/esl-one-cologne-2015-the-worlds-biggest-and-most-watched-counter-strike-global-offensive-event-to-date/#:~:text=between%20them%2C%20and%20at%20its%20peak%20the,for%20both%20ESL%20and%20the%20game%20itself.    https://liquipedia.net/counterstrike/S-Tier_Tournaments/2012-2023#2014"
,Hearthstone,2014,2015,Establishment of the multi-regional World Championship circuit and Masters Tours (2014).,Viewership showed explosive growth from 2014 to 2015.,"https://liquipedia.net/hearthstone/Portal:Tournaments/S-Tier#2014  For viewership, I can't actually find a specific reference, but based on my memory of the era, Hearthstone really entered a golden age form year 1 which culminated in around 2018. We could put the success milestone year later (into when EScharts tracking starts), but I think this does the game disservice."
,Rocket League,2017,2018,RLCS established its full 2-continent league system (NA/EU) (2017).,"Viewership grew by 28.2% from 2017 to 2018, confirming success before later volatility.","I'm not sure where Gemini got this stat on viewership. Possibly a hallucination. The conclusion stands IMO based on EScharts peak viewership data, which blessedly come in from 2017 onwards https://escharts.com/games/rl  . We could put the success year back one year, to 2019. This would only reinforce the notion of increased rate of successful emergence more recently."
,Fighting Games (SF/Tekken),2017,2018,Launch of the CPT (SF) & TWT (Tekken) global A/B-Tier point circuits (2017).,TWT Peak Viewership grew from 49.7K (2017) to 178.8K (2018).,https://escharts.com/games/tekken // https://liquipedia.net/fighters/Tekken_7/Tournaments/2017
,Overwatch,2018,2019,Successful launch of the multi-continent franchised Overwatch League (OWL) (2018).,"Peak Viewership was 437K in 2018 (Stage 1) and held stable/slightly declined in 2019 (318K Playoffs), fulfilling the structural success before later decline.",https://escharts.com/games/ow // https://liquipedia.net/overwatch/S-Tier_Tournaments
,Rainbow Six Siege,2019,2020,"Global Circuit established regional leagues across EMEA, Americas, and APAC (2019).",Viewership maintained strong stability from 2019–2021.,"As always, Siege feels remarkable, something like Apex in Japan in the way it stands out as being stable // https://escharts.com/games/rainbow-6 "
,Mortal Kombat,2019,2020,Pro Kompetition global circuit established across NA/LATAM/EU (2019).,Circuit successfully completed its cycle with stable audience viewership (2019–2020).,"Little sketchy, this one, but it does satisfy the success milestone.# https://escharts.com/games/mkx "
